SHEET:Guerreiro N1
1	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão
2	Progresso	0.38	Concluídos	38	Parciais	48	Pendentes	14
3	Auditoria conservadora de 2026-08-03: ☑ completo | ◐ parcialmente funcional | ☐ pendente | N/A fora do recorte. Evidências apontam para o código local no commit 39d58ce.							
4								
5								
6	Status	ID	Etapa	Item de conclusão	Critério de aceitação	Fonte	Evidência	Observações
7	◐	ESC-01	Escopo	Fixar a versão das regras	O projeto declara D&D 2024 como referência e não mistura regras de 2014 sem uma regra explícita de compatibilidade.	Cap. 2, pp. 33-47	Bancos e textos seguem a edição 2024; falta declarar e versionar esse contrato no estado salvo.	Formalizar rulesVersion e política de compatibilidade.
8	◐	ESC-02	Escopo	Fixar o recorte de opções do MVP	Classes, antecedentes, espécies, talentos, equipamentos, maestrias e magias disponíveis estão enumerados e nenhuma opção incompleta é oferecida.	Cap. 2, p. 33	banco-classes.js, banco-antecedentes.js, banco-especies.js, banco-talentos.js, banco-magias.js	Há opções ofertadas ainda incompletas, especialmente Mago, espécies, talentos e magias.
9	◐	ESC-03	Escopo	Definir o contrato de personagem nível 1	Existe um formato único para dados de criação, ficha salva, aventura, combate e PDF, com versão de esquema.	Cap. 2, pp. 34-35	criacao-personagem.js: objeto personagem; renderizador-ficha.js; aventuras.js	Existe estado central e projeções, mas não há schemaVersion e ainda existem cálculos duplicados.
10	☑	ESC-04	Escopo	Separar regras obrigatórias e elementos opcionais	Trinket, perguntas narrativas e sugestões não bloqueiam a criação; campos exigidos pelas regras bloqueiam quando ausentes.	Cap. 2, pp. 36-47	criacao-personagem.js: podeAvancarDoPassoAtual(), detalhesEstaoCompletos()	Campos narrativos opcionais não bloqueiam; escolhas mecânicas exigidas são validadas.
11	☑	ESC-05	Escopo	Distinguir criação de progressão	Progressão, níveis superiores e multiclasse ficam fora desta checklist e não são exigidos para concluir nível 1.	Cap. 2, pp. 41-45	banco-habilidades.js: progressaoClasses.nivel1; banco-magias.js: progressaoMagias.nivel1	O fluxo atual está delimitado ao nível 1.
12	☑	CLA-01	1. Classe	Selecionar uma classe disponível	A escolha salva id e nome canônicos e atualiza imediatamente a ficha sem perder escolhas compatíveis.	Cap. 2, p. 33; Cap. 3	banco-classes.js: guerreiro; selecionarClasse()	Classe selecionável e persistida.
13	◐	CLA-02	1. Classe	Registrar nível inicial	O personagem nasce no nível 1, com nível total e nível de classe consistentes.	Cap. 2, p. 36	Fluxo inteiro está fixado no nível 1.	Falta salvar nivel e niveisPorClasse no personagem.
14	☐	CLA-03	1. Classe	Registrar XP inicial	O personagem nasce com 0 XP e o valor é salvo e exibido onde aplicável.	Cap. 2, p. 36	O personagem salvo não possui XP.	Adicionar xp: 0 ao contrato canônico.
15	☑	CLA-04	1. Classe	Registrar atributo primário	O atributo ou alternativas de atributo primário da classe estão cadastrados e informados ao jogador.	Cap. 2, p. 33; Cap. 3	banco-classes.js: guerreiro.habilidadePrimaria	Força e Destreza cadastradas.
16	☑	CLA-05	1. Classe	Aplicar bônus de proficiência	No nível 1, o bônus é +2 e todos os cálculos dependentes usam a mesma função.	Cap. 2, p. 36	calcularBonusProficiencia()	Retorna +2 e é usado em perícias, salvaguardas e ataques.
17	◐	CLA-06	1. Classe	Aplicar treinamento com armaduras	Todas as categorias concedidas pela classe são salvas, exibidas e respeitadas pelo cálculo e validação de equipamento.	Cap. 2, p. 36; Caps. 3 e 6	guerreiro.proficiencias.armaduras; cálculo de CA e avisos de equipamento	Dados existem; falta validação geral de treinamento e banco completo de armaduras.
18	☑	CLA-07	1. Classe	Aplicar proficiências com armas	Categorias e armas específicas concedidas pela classe são salvas e usadas no bônus de ataque.	Cap. 2, p. 36; Caps. 3 e 6	guerreiro.proficiencias.armas; personagemTemProficienciaComArma()	Armas simples e marciais são reconhecidas nos ataques.
19	N/A	CLA-08	1. Classe	Aplicar proficiências com ferramentas	Ferramentas concedidas pela classe são salvas sem duplicar proficiências da origem.	Cap. 2, p. 36; Cap. 3	Guerreiro nível 1 não recebe proficiência de ferramenta pela classe.	Ferramentas de antecedente são tratadas em Origem.
20	☑	CLA-09	1. Classe	Aplicar salvaguardas da classe	As duas salvaguardas corretas recebem proficiência; as demais usam apenas o modificador do atributo.	Cap. 2, pp. 36 e 40; Cap. 3	guerreiro.salvaguardas; calcularValorSalvaguarda()	Força e Constituição recebem proficiência.
21	☑	CLA-10	1. Classe	Oferecer perícias da classe	A lista, quantidade, proibições e combinações legais são respeitadas e não geram duplicatas com o antecedente.	Cap. 2, pp. 36 e 40; Cap. 3	guerreiro.pericias; montarTelaPericiasClasse()	Escolhe duas opções legais sem duplicar antecedente.
22	◐	CLA-11	1. Classe	Cadastrar todas as características de nível 1	Nenhuma característica de nível 1 da classe está ausente, resumida como texto sem efeito ou disponível para a classe errada.	Cap. 2, p. 40; Cap. 3	Segundo Fôlego, Maestria com Armas e Estilos de Luta estão cadastrados.	Segundo Fôlego funciona; estilos e oito maestrias ainda não estão completos.
23	◐	CLA-12	1. Classe	Implementar escolhas internas das características	Toda característica que oferece escolhas apresenta somente opções legais, exige a quantidade correta e salva ids canônicos.	Cap. 2, p. 40; Cap. 3	gruposDeEscolha.estilosDeLuta e maestriasArmas; montarEscolhasDeHabilidades()	Seleção funciona, mas o conjunto legal e os efeitos das opções estão incompletos.
24	◐	CLA-13	1. Classe	Implementar recursos e recargas	Usos máximos, usos atuais, consumo, bloqueio sem usos e recarga curta, longa ou por turno seguem a regra de cada característica.	Cap. 3	Segundo Fôlego possui 2 usos e custo de ação bônus.	Faltam descanso longo, persistência e recarga completa.
25	◐	CLA-14	1. Classe	Explicar características	Nome, origem, resumo e regra mecânica de cada característica podem ser consultados na criação, ficha salva e aventura.	Cap. 2, p. 40; Cap. 3	Modal de detalhe mostra Segundo Fôlego, talento e maestria em páginas específicas.	Falta explicação consistente de todas as opções nas três instâncias da ficha.
26	◐	CLA-15	1. Classe	Remover escolhas incompatíveis ao trocar de classe	Trocar de classe limpa apenas perícias, características, recursos, magias e equipamentos que deixaram de ser válidos.	Derivado do fluxo do Cap. 2	irParaPasso() e montagem de telas recalculam escolhas por classe.	Falta teste integral de troca e limpeza de todos os campos.
27	☑	ORI-01	2. Origem	Selecionar um antecedente disponível	A escolha salva id e nome canônicos e nenhuma opção incompleta aparece na interface.	Cap. 2, p. 36; Cap. 4	banco-antecedentes.js; criacao-personagem.js: abrirModalAntecedente(), confirmarAntecedenteTemporario()	Os quatro antecedentes existentes podem ser escolhidos e persistidos.
28	☑	ORI-02	2. Origem	Aplicar três atributos permitidos pelo antecedente	Somente os três atributos cadastrados para o antecedente podem receber seus aumentos.	Cap. 2, pp. 36 e 38; Cap. 4	banco-antecedentes.js: atributos.opcoes; criarSeletoresBonusAntecedente()	A interface limita as escolhas aos três atributos do antecedente.
29	☑	ORI-03	2. Origem	Oferecer as duas distribuições legais	É possível escolher +2/+1 em atributos diferentes ou +1/+1/+1 nos três atributos.	Cap. 2, p. 38	banco-antecedentes.js: distribuicoesPermitidas; exibirEtapaAtributosAntecedente()	As distribuições +2/+1 e +1/+1/+1 estão cadastradas e selecionáveis.
30	◐	ORI-04	2. Origem	Impedir atributo acima de 20	A aplicação dos bônus nunca eleva um atributo acima de 20 e informa a razão quando uma escolha é inválida.	Cap. 2, p. 38	recalcularAtributosFinais()	O fluxo atual não ultrapassa 20 com a geração existente, mas falta uma validação explícita reutilizável.
31	☑	ORI-05	2. Origem	Aplicar duas perícias do antecedente	As duas perícias corretas são salvas, marcadas e combinadas sem duplicatas com a classe.	Cap. 2, p. 36; Cap. 4	banco-antecedentes.js: proficiencias.pericias; atualizarPericiasPersonagem()	Perícias de classe e antecedente são unidas sem duplicatas.
32	◐	ORI-06	2. Origem	Aplicar uma ferramenta do antecedente	A proficiência ou maestria correta é salva, exibida e reconhecida pelos testes que a utilizarem.	Cap. 2, p. 36; Cap. 4	banco-antecedentes.js: proficiencias.ferramentas; personagem.ferramentas	A proficiência é salva, mas ainda não participa de testes com ferramentas.
33	◐	ORI-07	2. Origem	Conceder o talento de origem	O talento correto é salvo com origem, configurações internas e efeitos, não apenas como texto na ficha.	Cap. 2, p. 36; Caps. 4 e 5	banco-talentos.js; personagem.talentos; motor-efeitos.js	O talento é concedido e exibido; somente parte dos efeitos está operacional.
34	☐	ORI-08	2. Origem	Implementar todas as escolhas do talento	Atributo de conjuração, proficiências, magias ou outras escolhas do talento são solicitadas, validadas e persistidas.	Caps. 4 e 5	banco-talentos.js: Iniciado em Magia declara escolha futura	Faltam as escolhas e efeitos completos de Iniciado em Magia, Alerta e demais talentos ofertados.
35	☑	ORI-09	2. Origem	Aplicar equipamento inicial do antecedente	Todas as alternativas legais entregam itens, quantidades e moedas corretos, sem duplicação.	Cap. 2, p. 36; Caps. 4 e 6	banco-antecedentes.js: equipamento.opcoes; selecionarAntecedente()	Itens, quantidades e moedas das opções existentes são aplicados sem repetir o ouro.
36	N/A	ORI-10	2. Origem	Permitir gasto imediato de moedas quando suportado	Se a compra inicial estiver no MVP, saldo e inventário são atualizados; caso contrário, a limitação está declarada.	Cap. 2, p. 36	Compra com moedas não faz parte do recorte atual do MVP.	Não bloqueia a criação de nível 1.
